[SUCCESS #1] 2026/3/29 07:05:25 | ::ffff:127.0.0.1 | ark-code-latest | Tokens:1858+9 | Req:5.7KB | Resp:3.2KB | 07:05:26 | 200 | 1.85s | 02177473912518520e33ae3714a969f29832d54235fd2cc312ebe
[SUCCESS #85] 2026/3/29 07:19:10 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:24428+124+40r-23096c | Req:84.2KB | Resp:29.3KB | 07:19:12 | 200 | 2.00s | 02177473995091570efbf1cf5c1ae3d0b3f284807454d292fb0f4
[SUCCESS #86] 2026/3/29 07:19:14 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:25271+134+28r-24376c | Req:86.0KB | Resp:32.9KB | 07:19:18 | 200 | 3.55s | 02177473995466370efbf1cf5c1ae3d0b3f284807454d294fd082
[SUCCESS #87] 2026/3/29 07:19:19 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:27058+119+34r-25144c | Req:89.3KB | Resp:28.0KB | 07:19:22 | 200 | 2.62s | 02177473995996970efbf1cf5c1ae3d0b3f284807454d29aaa8d4
[SUCCESS #88] 2026/3/29 07:19:24 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:28848+162+28r-26936c | Req:92.6KB | Resp:34.8KB | 07:19:28 | 200 | 4.71s | 02177473996408770efbf1cf5c1ae3d0b3f284807454d2964be68
[SUCCESS #89] 2026/3/29 07:19:31 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:33326+132+45r-28728c | Req:107.3KB | Resp:32.4KB | 07:19:37 | 200 | 6.53s | 02177473997112270efbf1cf5c1ae3d0b3f284807454d2945fdf0
[SUCCESS #90] 2026/3/29 07:19:39 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:33985+140+21r-33080c | Req:108.8KB | Resp:27.7KB | 07:19:47 | 200 | 7.37s | 02177473997971070efbf1cf5c1ae3d0b3f284807454d2912c4d9
[SUCCESS #91] 2026/3/29 07:19:48 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:37646+113+28r-33848c | Req:120.1KB | Resp:26.1KB | 07:19:53 | 200 | 4.60s | 02177473998868470efbf1cf5c1ae3d0b3f284807454d2966cdf9
[SUCCESS #92] 2026/3/29 07:19:54 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:- | Req:121.0KB | Resp:12.6KB | 07:20:00 | 200 | 6.13s | 02177473999487070efbf1cf5c1ae3d0b3f284807454d29b8c33c
[SUCCESS #93] 2026/3/29 07:20:01 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:42079+80+21r-37944c | Req:133.7KB | Resp:17.6KB | 07:20:07 | 200 | 5.28s | 02177474000195970efbf1cf5c1ae3d0b3f284807454d29cbf9ca
[SUCCESS #94] 2026/3/29 07:20:08 | ::ffff:127.0.0.1 | doubao-seed-2.0-code | Tokens:45551+2309+20r-42040c | Req:144.5KB | Resp:669.3KB | 07:20:16 | 200 | 7.88s | 02177474000853470efbf1cf5c1ae3d0b3f284807454d2984688e
[SUCCESS #95] 2026/3/29 07:20:44 | ::ffff:127.0.0.1 | ark-code-latest | Tokens:45998+1879 | Req:170.8KB | Resp:520.3KB | 07:20:48 | 200 | 3.79s | 02177474004453570efbf1cf5c1ae3d0b3f284807454d29ffedf6
